NAMESPACE     NAME                                      READY   STATUS             RESTARTS      AGE   IP          NODE                     NOMINATED NODE   READINESS GATES
default       php-apache-deployment-66f8c5bb45-hk72h    0/1     ImagePullBackOff   0             10m   10.42.1.3   k3d-mycluster-agent-0    <none>           <none>
kube-system   coredns-ccb96694c-xs9s6                   1/1     Running            1             41m   10.42.0.5   k3d-mycluster-server-0   <none>           <none>
kube-system   helm-install-traefik-crd-kkgcs            0/1     Completed          0             41m   10.42.0.2   k3d-mycluster-server-0   <none>           <none>
kube-system   helm-install-traefik-n27lp                0/1     Completed          0             41m   10.42.0.3   k3d-mycluster-server-0   <none>           <none>
kube-system   local-path-provisioner-5cf85fd84d-jcl6c   1/1     Running            0             41m   10.42.0.6   k3d-mycluster-server-0   <none>           <none>
kube-system   metrics-server-5985cbc9d7-6n4kb           1/1     Running            1             41m   10.42.0.4   k3d-mycluster-server-0   <none>           <none>
kube-system   metrics-server-dfcd54975-c9gcm            0/1     Running            6 (51s ago)   10m   10.42.2.4   k3d-mycluster-agent-1    <none>           <none>
kube-system   svclb-php-apache-service-f0827e59-gvz7t   0/1     Pending            0             10m   <none>      <none>                   <none>           <none>
kube-system   svclb-php-apache-service-f0827e59-hmpc5   0/1     Pending            0             10m   <none>      <none>                   <none>           <none>
kube-system   svclb-php-apache-service-f0827e59-mj8bq   0/1     Pending            0             10m   <none>      <none>                   <none>           <none>
kube-system   svclb-traefik-62a25cd1-97ttf              2/2     Running            1             36m   10.42.2.2   k3d-mycluster-agent-1    <none>           <none>
kube-system   svclb-traefik-62a25cd1-jcgzq              2/2     Running            2             36m   10.42.1.2   k3d-mycluster-agent-0    <none>           <none>
kube-system   svclb-traefik-62a25cd1-rlftz              2/2     Running            2             36m   10.42.0.7   k3d-mycluster-server-0   <none>           <none>
kube-system   traefik-5d45fc8cc9-4qcst                  1/1     Running            1             36m   10.42.2.3   k3d-mycluster-agent-1    <none>           <none>
